CHAVE DOM	ZONA	DOMIC	NUM_FAM	TIPO_IMÓVEL	Nº_CÔMODOS	ESGOTO	AGUA	CONSUMO	RADIO	TV	MAQ_LAV	GELADEIR	CELULAR	TEL_FIXO	MICRO	MICRO_IN	MOTO	AUTO	QTE_FAM	TIPO_DOM	COND_MOR	TMP_CID	TMP_DOM	FAT_EXP DOM		
8-52-1	08	052	1	Casa de alvenaria	12	Rede pública	Rede pública	350	1	2	1	2	3	2	1	1	0	2	1	Particular	Própria	30	30	63,20		
8-53-1	08	053	1	Casa de alvenaria	8	Rede pública	Rede pública	50	3	4	1	2	2	1	1	0	0	3	1	Particular	Própria	63	63	63,20		
8-55-1	08	055	1	Casa de alvenaria	4	Rede pública	Rede pública	53	1	1	0	1	1	0	0	0	0	0	1	Particular	Alugada	25	1	63,20		
8-56-1	08	056	1	Casa de alvenaria	5	Rede pública	Rede pública	130	0	3	1	1	6	1	2	2	1	3	1	Particular	Própria	51	13	63,20		
8-57-1	08	057	1	Casa de alvenaria	8	Rede pública	Rede pública	60	2	2	1	1	0	2	1	1	0	0	1	Particular	Própria	55	40	63,20		
8-58-1	08	058	1	Casa de alvenaria	5	Rede pública	Rede pública	NI	1	1	1	1	1	1	0	0	0	1	1	Coletivo	Própria	49	49	63,20		
8-59-1	08	059	1	Casa de alvenaria	5	Rede pública	Rede pública	56	1	1	1	1	0	1	1	0	1	1	1	Particular	Própria	33	3	63,20		
8-60-1	08	060	1	Casa de alvenaria	6	Rede pública	Rede pública	120	1	1	1	1	3	1	1	0	0	1	1	Particular	Própria	32	5	63,20		
8-63-1	08	063	1	Apartamento	6	Rede pública	Rede pública	91	1	1	1	1	1	1	0	0	0	0	1	Particular	Própria	65	5	63,20		
8-64-1	08	064	1	Casa de alvenaria	5	Rede pública	Rede pública	162	1	3	1	2	8	0	2	1	0	0	2	Coletivo	Própria	30	30	63,20		
8-64-2	08	064	2	Casa de alvenaria	5	Rede pública	Rede pública	162	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	2	Coletivo	Própria	30	30	63,20		
8-65-1	08	065	1	Casa de alvenaria	6	Rede pública	Rede pública	55	1	1	1	1	0	0	0	0	0	0	1	Particular	Própria	70	40	63,20		
8-66-1	08	066	1	Casa de alvenaria	4	Rede pública	Rede pública	22	1	1	0	1	0	0	0	0	0	0	1	Particular	Própria	50	40	63,20		
8-67-1	08	067	1	Casa de alvenaria	8	Rede pública	Rede pública	150	1	4	1	2	3	1	1	1	0	1	1	Particular	Própria	42	12	63,20		
8-68-1	08	068	1	Casa de alvenaria	6	Rede pública	Rede pública	80	1	1	1	1	4	1	1	1	0	1	1	Particular	Própria	44	1	63,20		
8-69-1	08	069	1	Apartamento	5	Rede pública	Rede pública	74	2	3	1	1	5	1	1	0	1	2	1	Particular	Alugada	5	1	63,20		
8-70-1	08	070	1	Casa de alvenaria	6	Rede pública	Rede pública	NI	0	2	1	1	1	0	0	0	0	1	1	Particular	Própria	60	55	63,20		
8-71-1	08	071	1	Casa de alvenaria	4	Rede pública	Rede pública	96	1	1	1	1	1	1	1	1	0	1	1	Particular	Própria	36	11	63,20		
8-72-1	08	072	1	Apartamento	4	Rede pública	Rede pública	20	1	2	1	1	1	0	0	0	0	0	1	Particular	Própria	53	53	63,20		
8-74-1	08	074	1	Apartamento	5	Rede pública	Rede pública	130	1	3	1	1	3	0	0	0	0	0	1	Particular	Própria	30	22	63,20		
8-75-1	08	075	1	Casa de alvenaria	3	Rede pública	Rede pública	40	1	1	0	1	0	0	0	0	0	0	1	Particular	Cedida	6	1	63,20		
8-76-1	08	076	1	Casa de alvenaria	4	Rede pública	Rede pública	23	1	1	0	1	1	0	0	0	0	0	1	Particular	Própria	67	20	63,20		
8-77-1	08	077	1	Casa de alvenaria	3	Rede pública	Rede pública	100	0	1	1	1	2	1	1	1	0	1	1	Particular	Alugada	35	7	63,20		
8-78-1	08	078	1	Apartamento	4	Rede pública	Rede pública	110	0	2	1	1	2	0	1	1	0	1	1	Particular	Própria	42	3	63,20		
8-79-1	08	079	1	Casa de alvenaria	5	Rede pública	Rede pública	140	2	2	1	1	3	1	0	0	0	2	1	Particular	Própria	30	23	63,20		
8-86-1	08	086	1	Apartamento	6	Rede pública	Rede pública	105	1	1	1	1	2	1	1	1	0	2	1	Particular	Própria	44	2	63,20		
8-87-1	08	087	1	Casa de alvenaria	4	Rede pública	Rede pública	42	1	1	1	1	1	1	1	0	0	0	1	Particular	Alugada	8	8	63,20		
8-88-1	08	088	1	Apartamento	6	Rede pública	Rede pública	60	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	1	Particular	Própria	23	7	63,20		
8-89-1	08	089	1	Casa de alvenaria	6	Rede pública	Rede pública	54	0	1	0	1	0	0	0	0	0	0	1	Particular	Própria	71	45	63,20		
8-90-1	08	090	1	Casa de alvenaria	6	Rede pública	Rede pública	72	1	3	1	1	3	1	1	1	1	0	1	Particular	Própria	49	24	63,20		
8-92-1	08	092	1	Casa de alvenaria	5	Rede pública	Rede pública	40	0	1	1	1	1	0	0	0	0	1	1	Particular	Própria	60	50	63,20		
8-93-1	08	093	1	Casa de alvenaria	8	Rede pública	Rede pública	134	1	1	1	1	0	1	1	1	1	1	1	Particular	Alugada	48	4	63,20		
8-94-1	08	094	1	Casa de alvenaria	7	Rede pública	Rede pública	140	1	4	0	1	4	1	1	1	0	0	1	Particular	Própria	30	25	63,20		
8-99-1	08	099	1	Casa de alvenaria	3	Rede pública	Rede pública	298	2	2	0	2	0	1	0	0	0	0	1	Particular	Alugada	44	8	63,20		
8-100-1	08	100	1	Casa de alvenaria	7	Rede pública	Rede pública	121	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	1	Particular	Própria	30	5	63,20		
8-104-1	08	104	1	Apartamento	5	Rede pública	Rede pública	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	1	Particular	Própria	45	15	63,20		
8-106-1	08	106	1	Apartamento	5	Rede pública	Rede pública	54	0	2	1	1	2	0	1	1	0	1	1	Particular	Própria	26	5	63,20		
8-111-1	08	111	1	Apartamento	7	Rede pública	Rede pública	120	1	2	1	1	1	1	1	1	0	1	1	Particular	Alugada	40	4	63,20		
8-121-1	08	121	1	Casa de alvenaria	4	Rede pública	Rede pública	70	1	1	1	1	2	1	1	1	1	1	1	Particular	Própria	35	5	63,20		
8-123-1	08	123	1	Casa de alvenaria	4	Rede pública	Rede pública	80	1	1	1	1	1	1	1	1	0	1	1	Particular	Própria	34	11	63,20		
8-126-1	08	126	1	Casa de alvenaria	3	Rede pública	Rede pública	100	2	3	1	1	4	0	1	0	0	0	1	Particular	Própria	52	10	63,20		
8-127-1	08	127	1	Casa de alvenaria	6	Rede pública	Rede pública	155	2	2	0	1	3	0	1	1	0	0	1	Particular	Própria	30	20	63,20		
8-128-1	08	128	1	Casa de alvenaria	6	Rede pública	Rede pública	40	1	1	0	1	0	0	0	0	0	0	1	Particular	Própria	67	67	63,20		
8-129-1	08	129	1	Casa de alvenaria	9	Rede pública	Rede pública	60	1	2	1	1	0	1	0	0	0	0	1	Particular	Própria	79	50	63,20		
8-131-1	08	131	1	Casa de alvenaria	5	Rede pública	Rede pública	150	1	2	1	1	3	1	1	0	0	1	1	Particular	Própria	43	10	63,20		
8-133-1	08	133	1	Apartamento	6	Rede pública	Rede pública	44	1	2	1	1	1	0	0	0	0	1	1	Particular	Própria	60	45	63,20		
8-135-1	08	135	1	Casa de alvenaria	5	Rede pública	Rede pública	35	1	1	1	1	2	1	1	1	0	0	1	Coletivo	Cedida	50	7	63,20		
8-136-1	08	136	1	Casa de alvenaria	4	Rede pública	Rede pública	56	2	3	1	1	1	1	1	0	0	0	1	Particular	Própria	50	16	63,20		
8-137-1	08	137	1	Apartamento	6	Rede pública	Rede pública	100	3	3	1	1	4	1	2	1	0	1	1	Particular	Própria	39	23	63,20		
8-138-1	08	138	1	Casa de alvenaria	5	Rede pública	Rede pública	80	2	2	1	1	3	1	1	1	0	2	1	Particular	Própria	22	7	63,20		
8-139-1	08	139	1	Apartamento	6	Rede pública	Rede pública	90	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	1	Particular	Própria	80	49	63,20		
8-140-1	08	140	1	Casa de alvenaria	10	Rede pública	Rede pública	30	1	1	1	1	2	1	1	1	0	2	1	Particular	Própria	40	30	63,20		
8-142-1	08	142	1	Casa de alvenaria	4	Rede pública	Rede pública	26	1	0	0	1	2	0	0	0	0	0	1	Particular	Alugada	30	7	63,20		
8-147-1	08	147	1	Apartamento	9	Rede pública	Rede pública	58	1	1	1	1	1	1	0	0	0	0	1	Particular	Própria	46	46	63,20		
8-152-1	08	152	1	Casa de alvenaria	8	Rede pública	Poço artesiano	60	2	2	2	1	2	1	1	1	0	1	1	Particular	Própria	43	43	63,20		
8-155-1	08	155	1	Casa de alvenaria	7	Rede pública	Rede pública	40	0	1	0	1	0	0	0	0	0	0	1	Particular	Própria	50	50	63,20		
8-157-1	08	157	1	Casa de alvenaria	5	Rede pública	Rede pública	52	1	1	0	1	1	1	0	0	1	1	1	Particular	Própria	40	23	63,20		
8-165-1	08	165	1	Casa de alvenaria	4	Rede pública	Rede pública	150	1	1	1	1	1	1	1	1	0	1	1	Particular	Alugada	42	5	63,20		
8-167-1	08	167	1	Casa de alvenaria	3	Rede pública	Rede pública	15	1	1	0	1	0	0	0	0	0	0	1	Particular	Própria	52	15	63,20		
8-168-1	08	168	1	Casa de alvenaria	2	Rede pública	Rede pública	42	1	1	0	1	0	0	0	0	0	0	1	Particular	Própria	72	4	63,20		
8-169-1	08	169	1	Casa de alvenaria	6	Rede pública	Rede pública	138	1	1	1	1	1	1	0	0	0	1	1	Particular	Própria	59	43	63,20		
8-170-1	08	170	1	Casa de alvenaria	8	Rede pública	Rede pública	150	1	1	1	1	1	1	1	1	0	1	1	Particular	Própria	32	32	63,20		
8-171-1	08	171	1	Casa de alvenaria	5	Rede pública	Rede pública	120	1	1	1	1	1	1	1	0	1	1	1	Particular	Própria	50	12	63,20		
9-3-1	09	003	1	Casa de alvenaria	7	Rede pública	Rede pública	170	0	4	1	2	3	0	0	1	1	2	1	Particular	Própria	17	8	74,12		
9-4-1	09	004	1	Casa de alvenaria	4	Rede pública	Rede pública	70	0	3	1	2	4	1	2	2	0	1	1	Particular	Própria	45	20	74,12		
9-5-1	09	005	1	Casa de alvenaria	7	Rede pública	Rede pública	98	1	2	1	1	1	1	0	0	0	0	1	Particular	Própria	52	38	74,12		
9-6-1	09	006	1	Casa de alvenaria	12	Rede pública	Rede pública	130	1	1	1	1	2	1	0	0	0	1	1	Particular	Alugada	11	2	74,12		
9-7-1	09	007	1	Casa de alvenaria	5	Rede pública	Rede pública	111	0	1	1	1	1	0	0	0	0	1	1	Particular	Própria	40	10	74,12		
9-8-1	09	008	1	Casa de alvenaria	9	Rede pública	Rede pública	127	2	3	1	1	4	1	1	1	0	2	1	Particular	Própria	44	16	74,12		
9-9-1	09	009	1	Casa de alvenaria	6	Rede pública	Rede pública	90	1	1	1	1	1	1	1	1	0	0	1	Particular	Própria	25	0	74,12		
9-11-1	09	011	1	Apartamento	5	Rede pública	Rede pública	70	0	3	1	1	3	1	2	2	0	1	1	Particular	Própria	35	0	74,12		
9-13-1	09	013	1	Apartamento	6	Rede pública	Rede pública	25	0	2	1	1	2	0	1	0	0	1	1	Particular	Própria	21	1	74,12		
9-15-1	09	015	1	Casa de alvenaria	6	Rede pública	Rede pública	83	1	2	1	1	2	1	1	0	0	0	1	Particular	Própria	51	41	74,12		
9-16-1	09	016	1	Casa de alvenaria	8	Rede pública	Rede pública	50	1	2	1	1	3	1	1	1	0	1	1	Particular	Cedida	38	1	74,12		
9-19-1	09	019	1	Apartamento	8	Rede pública	Rede pública	80	1	2	1	1	2	1	4	4	0	1	1	Particular	Própria	28	11	74,12		
9-20-1	09	020	1	Casa de alvenaria	6	Rede pública	Rede pública	98	1	1	1	1	1	0	1	1	0	1	1	Particular	Alugada	32	6	74,12		
9-21-1	09	021	1	Casa de alvenaria	4	Rede pública	Rede pública	100	1	2	1	1	3	0	1	0	0	1	1	Particular	Própria	1	0	74,12		
9-22-1	09	022	1	Casa de alvenaria	5	Rede pública	Rede pública	52	1	1	1	1	1	1	0	0	0	1	1	Particular	Própria	65	29	74,12		
9-23-1	09	023	1	Casa de alvenaria	5	Rede pública	Rede pública	130	1	2	1	1	2	1	1	1	0	1	1	Particular	Própria	19	19	74,12		
9-25-1	09	025	1	Apartamento	8	Rede pública	Rede pública	60	1	2	1	1	3	1	1	2	0	1	1	Particular	Alugada	27	1	74,12		
9-26-1	09	026	1	Apartamento	7	Rede pública	Rede pública	70	1	1	1	1	1	1	0	0	1	1	1	Particular	Própria	42	30	74,12		
9-30-1	09	030	1	Apartamento	5	Rede pública	Rede pública	69	1	2	1	1	2	1	1	1	1	1	1	Particular	Própria	28	28	74,12		
9-32-1	09	032	1	Apartamento	4	Rede pública	Rede pública	27	1	1	1	1	3	1	1	2	1	1	1	Particular	Própria	27	3	74,12		
9-37-1	09	037	1	Apartamento	5	Rede pública	Rede pública	90	1	1	1	1	1	1	1	1	0	1	1	Particular	Própria	19	17	74,12		
9-39-1	09	039	1	Casa de alvenaria	6	Rede pública	Rede pública	110	1	1	1	1	0	1	1	0	0	1	1	Particular	Própria	56	30	74,12		
9-40-1	09	040	1	Apartamento	5	Rede pública	Rede pública	100	1	2	1	1	3	1	2	1	0	2	1	Particular	Própria	27	16	74,12		
9-41-1	09	041	1	Casa de alvenaria	4	Rede pública	Rede pública	60	1	1	1	1	2	0	1	1	0	0	1	Particular	Cedida	44	22	74,12		
9-42-1	09	042	1	Casa de alvenaria	6	Rede pública	Rede pública	180	1	2	1	1	2	0	1	0	0	1	1	Particular	Própria	31	5	74,12		
9-43-1	09	043	1	Casa de alvenaria	7	Rede pública	Rede pública	170	2	2	1	1	4	1	1	1	0	2	1	Particular	Própria	47	47	74,12		
9-45-1	09	045	1	Casa de alvenaria	6	Rede pública	Rede pública	320	2	2	2	2	3	1	3	1	0	4	1	Particular	Própria	34	24	74,12		
9-47-1	09	047	1	Apartamento	8	Rede pública	Rede pública	220	1	4	1	1	5	1	1	2	0	2	1	Particular	Própria	47	12	74,12		
9-48-1	09	048	1	Casa de alvenaria	5	Rede pública	Rede pública	110	1	1	1	1	2	0	1	0	0	0	1	Particular	Própria	33	33	74,12		
9-49-1	09	049	1	Casa de alvenaria	5	Rede pública	Rede pública	123	1	2	0	1	2	1	1	1	1	0	1	Particular	Alugada	40	1	74,12		
9-50-1	09	050	1	Casa de alvenaria	9	Rede pública	Rede pública	100	1	1	1	1	1	1	1	1	0	1	1	Particular	Própria	35	8	74,12		
9-52-1	09	052	1	Casa de alvenaria	5	Rede pública	Rede pública	65	1	2	1	1	1	1	1	1	0	1	1	Particular	Própria	45	2	74,12		
9-53-1	09	053	1	Casa de alvenaria	7	Rede pública	Rede pública	110	1	1	0	1	2	0	0	0	0	0	1	Particular	Própria	40	40	74,12		
9-55-1	09	055	1	Casa de alvenaria	6	Rede pública	Rede pública	130	0	1	1	1	2	1	0	0	1	2	1	Particular	Própria	30	30	74,12		
9-57-1	09	057	1	Casa de alvenaria	8	Rede pública	Rede pública	55	1	1	1	1	2	1	0	0	0	0	1	Particular	Alugada	13	13	74,12		
9-60-1	09	060	1	Casa de alvenaria	8	Rede pública	Rede pública	90	1	1	1	1	1	1	1	1	0	1	1	Particular	Própria	38	8	74,12		
9-61-1	09	061	1	Casa de alvenaria	11	Rede pública	Rede pública	180	0	2	1	2	4	1	2	1	1	2	1	Particular	Alugada	0	0	74,12		
9-63-1	09	063	1	Apartamento	5	Rede pública	Rede pública	115	1	3	1	1	3	1	1	1	0	0	1	Particular	Própria	35	30	74,12		
9-64-1	09	064	1	Apartamento	5	Rede pública	Rede pública	20	1	2	0	1	1	0	0	0	0	0	1	Particular	Própria	56	7	74,12		
9-65-1	09	065	1	Apartamento	5	Rede pública	Rede pública	27	1	1	1	1	1	1	1	1	0	0	1	Particular	Própria	14	2	74,12		
9-67-1	09	067	1	Apartamento	5	Rede pública	Rede pública	57	1	1	1	1	1	0	1	1	0	1	1	Particular	Alugada	12	0	74,12		
9-70-1	09	070	1	Apartamento	5	Rede pública	Rede pública	15	1	1	0	1	0	0	0	0	0	0	1	Particular	Cedida	2	1	74,12		
9-74-1	09	074	1	Apartamento	4	Rede pública	Rede pública	45	1	1	1	1	2	1	1	1	0	0	1	Particular	Alugada	33	2	74,12		
9-76-1	09	076	1	Apartamento	5	Rede pública	Rede pública	119	3	2	1	1	3	1	0	0	0	1	1	Particular	Alugada	20	6	74,12		
9-78-1	09	078	1	Casa de alvenaria	5	Rede pública	Rede pública	100	1	1	1	1	2	1	1	1	0	1	1	Particular	Própria	30	24	74,12		
9-79-1	09	079	1	Casa de alvenaria	7	Rede pública	Rede pública	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	1	Particular	Própria	28	2	74,12		
9-80-1	09	080	1	Casa de alvenaria	6	Rede pública	Rede pública	130	1	2	1	1	1	1	1	1	0	1	1	Particular	Própria	50	30	74,12		
9-81-1	09	081	1	Casa de alvenaria	5	Rede pública	Rede pública	97	1	1	1	1	1	1	1	1	0	0	1	Particular	Alugada	11	0	74,12		
9-82-1	09	082	1	Casa de alvenaria	7	Rede pública	Rede pública	134	1	1	1	1	6	1	0	0	1	0	1	Particular	Própria	45	40	74,12		
9-83-1	09	083	1	Casa de alvenaria	10	Rede pública	Rede pública	140	2	3	1	1	3	2	1	0	0	1	1	Particular	Própria	45	40	74,12		
9-84-1	09	084	1	Casa de alvenaria	8	Rede pública	Rede pública	115	1	4	1	2	2	1	0	0	0	0	1	Coletivo	Própria	39	38	74,12		
9-85-1	09	085	1	Apartamento	6	Rede pública	Rede pública	96	1	1	1	1	0	1	0	0	1	0	1	Particular	Própria	30	30	74,12		
9-87-1	09	087	1	Casa de alvenaria	9	Rede pública	Rede pública	60	1	1	1	1	2	1	0	0	0	1	1	Particular	Própria	21	21	74,12		
9-89-1	09	089	1	Casa de alvenaria	8	Rede pública	Rede pública	80	1	2	1	1	2	1	1	1	0	0	1	Particular	Própria	60	40	74,12		
9-90-1	09	090	1	Casa de alvenaria	5	Rede pública	Rede pública	78	1	1	1	1	0	1	0	0	0	0	1	Particular	Própria	31	20	74,12		
9-91-1	09	091	1	Apartamento	7	Rede pública	Rede pública	104	1	1	1	1	1	1	1	1	0	1	1	Particular	Própria	40	40	74,12		
9-92-1	09	092	1	Apartamento	6	Rede pública	Rede pública	160	2	1	1	1	2	1	1	0	0	0	1	Particular	Própria	35	9	74,12		
9-93-1	09	093	1	Casa de alvenaria	6	Rede pública	Rede pública	65	1	1	1	1	1	1	1	1	0	0	1	Particular	Própria	35	35	74,12		
9-94-1	09	094	1	Casa de alvenaria	7	Rede pública	Rede pública	55	2	3	1	1	3	1	1	1	0	1	1	Particular	Própria	30	30	74,12		
9-95-1	09	095	1	Casa de alvenaria	6	Rede pública	Rede pública	58	0	3	1	1	2	1	1	1	0	0	1	Particular	Própria	48	3	74,12		
9-96-1	09	096	1	Apartamento	7	Rede pública	Rede pública	65	1	3	1	1	4	0	1	1	0	2	1	Particular	Própria	40	1	74,12		
9-97-1	09	097	1	Casa de alvenaria	5	Rede pública	Rede pública	115	2	2	1	1	3	1	1	1	1	1	1	Particular	Própria	38	9	74,12		
9-98-1	09	098	1	Casa de alvenaria	6	Rede pública	Rede pública	58	1	1	0	1	0	1	0	0	0	0	1	Particular	Própria	71	40	74,12		
9-99-1	09	099	1	Casa de alvenaria	6	Rede pública	Rede pública	232	1	2	1	1	3	1	1	1	0	1	1	Particular	Própria	46	9	74,12		
9-102-1	09	102	1	Apartamento	3	Rede pública	Rede pública	70	1	1	0	1	1	1	0	0	0	0	1	Particular	Alugada	55	6	74,12		
9-103-1	09	103	1	Casa de alvenaria	5	Rede pública	Rede pública	50	1	1	0	1	2	0	1	1	0	0	1	Particular	Alugada	50	0	74,12		
9-104-1	09	104	1	Casa de alvenaria	4	Rede pública	Rede pública	64	1	1	1	1	2	1	0	0	0	0	1	Particular	Própria	30	30	74,12		
9-105-1	09	105	1	Apartamento	5	Rede pública	Rede pública	150	0	1	0	1	2	1	0	0	0	0	1	Particular	Própria	51	15	74,12		
9-107-1	09	107	1	Casa de alvenaria	8	Rede pública	Rede pública	180	1	2	1	2	5	1	1	1	1	3	1	Particular	Própria	27	3	74,12		
9-109-1	09	109	1	Casa de alvenaria	8	Rede pública	Rede pública	80	1	2	1	1	4	0	1	0	0	1	1	Particular	Própria	20	19	74,12		
9-111-1	09	111	1	Casa de alvenaria	5	Rede pública	Rede pública	170	1	1	1	1	2	1	1	1	0	1	1	Particular	Própria	30	15	74,12		
9-116-1	09	116	1	Casa de alvenaria	9	Rede pública	Rede pública	80	1	1	1	1	1	1	1	0	0	1	1	Particular	Própria	60	35	74,12		
9-117-1	09	117	1	Casa de alvenaria	8	Rede pública	Rede pública	180	0	5	1	1	4	2	3	1	0	1	1	Particular	Cedida	38	4	74,12		
9-136-1	09	136	1	Casa de alvenaria	3	Rede pública	Rede pública	40	1	1	0	1	1	0	0	0	0	1	1	Particular	Própria	41	6	74,12		
9-138-1	09	138	1	Apartamento	4	Rede pública	Rede pública	59	0	2	0	1	1	1	1	0	1	1	1	Particular	Própria	17	17	74,12		
9-141-1	09	141	1	Casa de alvenaria	4	Rede pública	Rede pública	238	1	1	1	1	0	1	0	0	0	0	1	Particular	Própria	65	65	74,12		
9-143-1	09	143	1	Casa de alvenaria	5	Rede pública	Rede pública	60	1	2	1	1	1	1	1	1	0	0	1	Particular	Própria	40	0	74,12		
9-146-1	09	146	1	Casa de alvenaria	4	Rede pública	Rede pública	98	1	2	1	1	1	1	0	0	0	0	1	Particular	Própria	42	15	74,12		
9-148-1	09	148	1	Casa de alvenaria	11	Rede pública	Rede pública	107	2	3	1	1	2	1	1	1	0	1	1	Particular	Própria	33	23	74,12		
9-149-1	09	149	1	Casa de alvenaria	5	Rede pública	Rede pública	190	1	2	1	1	1	1	1	1	0	0	1	Particular	Alugada	25	4	74,12		
9-150-1	09	150	1	Apartamento	9	Rede pública	Rede pública	120	1	2	1	1	1	1	1	1	0	0	1	Coletivo	Própria	40	30	74,12		
9-152-1	09	152	1	Apartamento	6	Rede pública	Rede pública	40	1	3	1	1	3	1	1	1	0	0	1	Particular	Própria	57	57	74,12		
9-153-1	09	153	1	Casa de alvenaria	6	Rede pública	Rede pública	140	1	3	2	2	1	1	1	1	0	1	1	Particular	Própria	53	30	74,12		
9-154-1	09	154	1	Casa de alvenaria	7	Rede pública	Rede pública	180	3	2	1	1	4	1	4	4	0	3	1	Particular	Própria	30	17	74,12		
9-155-1	09	155	1	Casa de alvenaria	5	Rede pública	Rede pública	55	1	2	1	1	2	1	1	1	0	1	1	Particular	Própria	62	33	74,12		
9-156-1	09	156	1	Casa de alvenaria	9	Rede pública	Rede pública	300	1	3	1	1	3	2	1	1	0	2	1	Particular	Própria	35	24	74,12		
9-157-1	09	157	1	Casa de alvenaria	6	Rede pública	Rede pública	40	2	2	1	4	1	0	1	0	0	0	1	Particular	Própria	46	11	74,12		
9-163-1	09	163	1	Apartamento	5	Rede pública	Rede pública	55	1	1	1	1	2	1	0	0	0	1	1	Particular	Própria	52	29	74,12		
9-164-1	09	164	1	Apartamento	5	Rede pública	Rede pública	26	1	1	1	1	1	1	0	0	0	0	1	Particular	Alugada	8	0	74,12		
9-176-1	09	176	1	Casa de alvenaria	6	Rede pública	Rede pública	70	1	2	1	1	3	0	0	0	0	1	1	Particular	Própria	42	42	74,12		
9-178-1	09	178	1	Casa de alvenaria	5	Rede pública	Rede pública	114	2	3	1	1	3	1	1	1	1	0	2	Particular	Própria	47	15	74,12		
9-178-2	09	178	2	Casa de alvenaria	5	Rede pública	Rede pública	114	2	3	1	1	3	1	1	1	1	0	2	Particular	Própria	47	15	74,12		
9-179-1	09	179	1	Casa de alvenaria	6	Rede pública	Rede pública	79	1	1	1	1	2	1	1	1	0	1	1	Particular	Alugada	25	25	74,12		
9-180-1	09	180	1	Casa de alvenaria	6	Rede pública	Rede pública	155	2	6	1	1	5	1	1	1	0	2	1	Particular	Própria	46	3	74,12		
9-181-1	09	181	1	Casa de alvenaria	4	Rede pública	Rede pública	NI	1	1	1	1	3	1	3	3	2	3	1	Particular	Própria	34	34	74,12		
9-182-1	09	182	1	Casa de alvenaria	4	Rede pública	Rede pública	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	1	Particular	Própria	41	31	74,12		
10-1-1	10	001	1	Casa de alvenaria	9	Rede pública	Rede pública	150	3	3	1	2	4	0	1	0	0	1	1	Particular	Própria	64	45	37,48		
10-2-1	10	002	1	Casa de alvenaria	3	Rede pública	Rede pública	248	1	1	1	1	1	0	0	0	0	0	1	Particular	Cedida	5	3	37,48		
10-3-1	10	003	1	Casa de alvenaria	6	Rede pública	Rede pública	60	0	5	1	1	2	1	0	1	0	1	1	Particular	Própria	61	25	37,48		
10-4-1	10	004	1	Casa de alvenaria	6	Rede pública	Rede pública	56	5	2	0	1	1	1	0	0	0	0	1	Coletivo	Própria	45	39	37,48		
10-5-1	10	005	1	Casa de alvenaria	8	Rede pública	Rede pública	98	5	2	1	1	3	1	1	1	0	1	1	Particular	Própria	42	12	37,48		
10-6-1	10	006	1	Casa de alvenaria	5	Rede pública	Rede pública	152	1	1	0	1	6	0	0	0	0	0	1	Particular	Alugada	3	3	37,48		
10-7-1	10	007	1	Casa de alvenaria	8	Rede pública	Rede pública	296	2	6	3	2	7	1	4	4	0	3	2	Particular	Própria	32	16	37,48		
10-7-2	10	007	2	Casa de alvenaria	8	Rede pública	Rede pública	296	2	6	3	2	7	1	4	4	0	3	2	Particular	Própria	32	16	37,48		
10-8-1	10	008	1	Casa de alvenaria	5	Rede pública	Rede pública	59	0	3	1	1	2	0	2	2	0	1	1	Particular	Alugada	32	2	37,48		
10-9-1	10	009	1	Casa de alvenaria	7	Fossa séptica	Rede pública	57	2	3	1	1	1	1	1	0	1	0	1	Particular	Própria	35	23	37,48		
10-10-1	10	010	1	Casa de alvenaria	9	Rede pública	Rede pública	178	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	1	Particular	Própria	51	21	37,48		
10-12-1	10	012	1	Casa de alvenaria	6	Rede pública	Rede pública	50	0	1	1	1	2	0	0	0	0	1	1	Particular	Própria	26	12	37,48		
10-13-1	10	013	1	Casa de alvenaria	4	Rede pública	Rede pública	66	1	3	1	1	2	0	1	0	0	1	1	Particular	Própria	38	27	37,48		
10-15-1	10	015	1	Casa de alvenaria	3	Rede pública	Rede pública	82	0	2	1	1	2	0	0	0	0	0	1	Particular	Alugada	13	1	37,48		
10-16-1	10	016	1	Casa de alvenaria	5	Rede pública	Rede pública	112	3	2	1	1	4	1	1	1	0	1	1	Particular	Alugada	1	1	37,48		
10-18-1	10	018	1	Casa de alvenaria	7	Rede pública	Rede pública	50	3	2	1	1	0	1	1	1	0	0	1	Particular	Própria	11	9	37,48		
10-19-1	10	019	1	Casa de alvenaria	5	Rede pública	Rede pública	100	5	3	1	1	1	1	0	1	0	0	1	Particular	Alugada	46	12	37,48		
10-21-1	10	021	1	Casa de alvenaria	6	Rede pública	Rede pública	65	3	3	1	1	2	1	1	0	0	0	1	Particular	Própria	55	55	37,48		
10-22-1	10	022	1	Casa de alvenaria	5	Rede pública	Rede pública	58	1	2	1	1	2	1	0	0	0	1	1	Particular	Alugada	30	10	37,48		
10-23-1	10	023	1	Casa de alvenaria	5	Rede pública	Rede pública	25	1	1	1	1	2	0	0	0	0	0	1	Particular	Própria	40	36	37,48		
